index,meeting_id,caption,topic,topics
0,42,"Joining us this afternoon is Alderman Robert Baumann, Vice Chair, Alderman Perez, Alderman Marina Dimitrovic is on the screen, and along with Alderman Russell Stamberg.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
1,42,"My apologies for delay, the earlier committee judiciary and legislation ran over, but we'll try to be as quick and efficient as possible with the committee today.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
2,42,"Item one on the agenda is file number 220398, an appointment of Irma Yapaz-Klaasen to the Housing Authority by the Mayor, and this is in the 3rd automatic district.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
3,42,Is this a reappointment?,0,appointment of Irma Yapaz-Klaasen to the Housing Authority
4,42,"No, apparently not.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
5,42,"Okay, so is Ms. Klaasen present or on the screen?",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
6,42,She's on the screen.,0,appointment of Irma Yapaz-Klaasen to the Housing Authority
7,42,"Oh, on the screen, okay.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
8,42,So if you'd just like to tell us a little bit about yourself and why you'd like to serve on the Housing Authority.,0,appointment of Irma Yapaz-Klaasen to the Housing Authority
9,42,"Sure, thank you.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
10,42,"I apologize, I am traveling, so I'm trying to find a quiet spot, but good afternoon everyone and Mr. Chair and committee members.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
11,42,"I'm Irma Yapaz-Klaasen and I'd like to thank the Mayor, Mayor Johnson for nominating me to serve on the Housing Authority Board of Commissioners and Director Hunt for his time and recommendation.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
12,42,"As many of you may know, my work is rooted in Milwaukee's Affordable Housing and Community Economic Development Community, where I have over 25 years of experience working collectively with women alongside the private, public, and non-profit sectors.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
13,42,"Throughout my career, I've had the opportunity and privilege to work with the Housing Authority in a variety of capacities to support their economic well-being and overall quality of life of its residents in securing quality, affordable, and stable housing through its many programs and initiatives.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
14,42,"I'm honored and thrilled to receive this appointment and to continue to serve, support, and learn from the community in this capacity.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
15,42,Thank you.,0,appointment of Irma Yapaz-Klaasen to the Housing Authority
16,42,"Well, thank you for agreeing to serve.",0,appointment of Irma Yapaz-Klaasen to the Housing Authority
17,42,We appreciate that.,0,appointment of Irma Yapaz-Klaasen to the Housing Authority
18,42,"Mr. Chair, I'm just curious, when did the nominee learn of this hearing?",1,technical difficulties
19,42,I could barely hear what she said.,1,technical difficulties
20,42,It was difficult.,1,technical difficulties
21,42,We don't have nothing on screen.,1,technical difficulties
22,42,There's no video.,1,technical difficulties
23,42,When did she know about this hearing?,1,technical difficulties
24,42,"Because it's customary for people to show up in person, especially for new appointments.",1,technical difficulties
25,42,"Ms. Klaasen, can you address that issue?",1,technical difficulties
26,42,"Yes, I did.",1,technical difficulties
27,42,"I got my nomination later this spring, and I was able to accept the nomination just a few weeks ago.",1,technical difficulties
28,42,"And when I learned about the hearing, I had already had plans to travel.",1,technical difficulties
29,42,"So I am currently on a family vacation in New York, and it was committed to making sure that I attended the meeting virtually.",1,technical difficulties
30,42,So I did ask about that in advance.,1,technical difficulties
31,42,Who did you ask?,1,technical difficulties
32,42,The committee chair or the mayor's office?,1,technical difficulties
33,42,"Mr. Chair, if I may, this is Mr. Lee.",1,technical difficulties
34,42,"I did contact the appointee about her appointment, and at that time she said she would be out of town, and I said that the meeting would be held in person and virtually.",1,technical difficulties
35,42,All right.,1,technical difficulties
36,42,"Questions or comments, Ms. Klaasen?",2,appointment of Irma Yapaz-Klaasen to the Housing Authority
37,42,And this is in the Third Aldermen District.,2,appointment of Irma Yapaz-Klaasen to the Housing Authority
38,42,"Obviously, there's no aldermen there present at this time.",2,appointment of Irma Yapaz-Klaasen to the Housing Authority
39,42,Mr. Chair?,2,appointment of Irma Yapaz-Klaasen to the Housing Authority
40,42,Alderman Perez.,2,appointment of Irma Yapaz-Klaasen to the Housing Authority
41,42,I'm curious if the candidate can expand a little bit on her work here at the city.,2,appointment of Irma Yapaz-Klaasen to the Housing Authority
42,42,"Yes, I can.",2,appointment of Irma Yapaz-Klaasen to the Housing Authority
