,topics,subtopics,sentences
0,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Joining us this afternoon is Alderman Robert Baumann, Vice Chair, Alderman Perez, Alderman Marina Dimitrovic is on the screen, and along with Alderman Russell Stamberg."
1,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"My apologies for delay, the earlier committee judiciary and legislation ran over, but we'll try to be as quick and efficient as possible with the committee today."
2,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Item one on the agenda is file number 220398, an appointment of Irma Yapaz-Klaasen to the Housing Authority by the Mayor, and this is in the 3rd automatic district."
3,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,Is this a reappointment?
4,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"No, apparently not."
5,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Okay, so is Ms. Klaasen present or on the screen?"
6,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,She's on the screen.
7,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Oh, on the screen, okay."
8,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,So if you'd just like to tell us a little bit about yourself and why you'd like to serve on the Housing Authority.
9,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Sure, thank you."
10,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"I apologize, I am traveling, so I'm trying to find a quiet spot, but good afternoon everyone and Mr. Chair and committee members."
11,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"I'm Irma Yapaz-Klaasen and I'd like to thank the Mayor, Mayor Johnson for nominating me to serve on the Housing Authority Board of Commissioners and Director Hunt for his time and recommendation."
12,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"As many of you may know, my work is rooted in Milwaukee's Affordable Housing and Community Economic Development Community, where I have over 25 years of experience working collectively with women alongside the private, public, and non-profit sectors."
13,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Throughout my career, I've had the opportunity and privilege to work with the Housing Authority in a variety of capacities to support their economic well-being and overall quality of life of its residents in securing quality, affordable, and stable housing through its many programs and initiatives."
14,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"I'm honored and thrilled to receive this appointment and to continue to serve, support, and learn from the community in this capacity."
15,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,Thank you.
16,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Well, thank you for agreeing to serve."
17,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,We appreciate that.
18,appointments,technical difficulties,"Mr. Chair, I'm just curious, when did the nominee learn of this hearing?"
19,appointments,technical difficulties,I could barely hear what she said.
20,appointments,technical difficulties,It was difficult.
21,appointments,technical difficulties,We don't have nothing on screen.
22,appointments,technical difficulties,There's no video.
23,appointments,technical difficulties,When did she know about this hearing?
24,appointments,technical difficulties,"Because it's customary for people to show up in person, especially for new appointments."
25,appointments,technical difficulties,"Ms. Klaasen, can you address that issue?"
26,appointments,technical difficulties,"Yes, I did."
27,appointments,technical difficulties,"I got my nomination later this spring, and I was able to accept the nomination just a few weeks ago."
28,appointments,technical difficulties,"And when I learned about the hearing, I had already had plans to travel."
29,appointments,technical difficulties,"So I am currently on a family vacation in New York, and it was committed to making sure that I attended the meeting virtually."
30,appointments,technical difficulties,So I did ask about that in advance.
31,appointments,technical difficulties,Who did you ask?
32,appointments,technical difficulties,The committee chair or the mayor's office?
33,appointments,technical difficulties,"Mr. Chair, if I may, this is Mr. Lee."
34,appointments,technical difficulties,"I did contact the appointee about her appointment, and at that time she said she would be out of town, and I said that the meeting would be held in person and virtually."
35,appointments,technical difficulties,All right.
36,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Questions or comments, Ms. Klaasen?"
37,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,And this is in the Third Aldermen District.
38,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Obviously, there's no aldermen there present at this time."
39,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,Mr. Chair?
40,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,Alderman Perez.
41,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,I'm curious if the candidate can expand a little bit on her work here at the city.
42,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Yes, I can."
43,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,Can you hear me?
44,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Hello, everybody."
45,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,I was.
46,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"I had previously served on behalf of Mayor Barrett in the role of Housing Policy Director coordinating our Neighborhood Plan activity and other affordable housing activities during my tenure that was back in May of 2016, and I closed out my term at the city at the end of 2018."
47,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"And since then, I have been working with the Zilber Family Foundation, and again, I'm committed to investing and supporting non-profit organizations to support efforts around community economic development and affordable housing."
48,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"And this is alongside the Housing Authority team members, too, in developing the community development along with the Affordable Housing Plan."
49,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Okay, thank you."
50,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Okay, I'm hearing no other questions, or is there a motion for approval?"
51,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Yes, move approval, Mr. Chair."
52,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,Great.
53,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Alderman Stamper moves for approval and hearing no objections, so ordered."
54,appointments,appointment of Irma Yapaz-Klaasen to the Housing Authority,"Thank you, Miss Classenenden."
55,appointments,reappointment of LaShawnda Vernon ,"On the agenda, file number 220438, reappointment of LaShawnda Vernon to the Brownsville Advisory Committee by Alderman Malaylee Coggs."
56,appointments,reappointment of LaShawnda Vernon ,"Thank you, Mr. Chair."
57,appointments,reappointment of LaShawnda Vernon ,"This is a reappointment, and LaShawnda has served as the chair of the committee and has done an excellent job in helping to steward the decision-making and activities of the committee, and I would love to see her continue on with the committee, so I will respectfully ask for you all's approval."
58,appointments,reappointment of LaShawnda Vernon ,Move confirmation.
59,appointments,reappointment of LaShawnda Vernon ,"Alderman Bowman moves for approval, and she has a perfect attendance record."
60,appointments,reappointment of LaShawnda Vernon ,"Alderman Bowman moves for approval and hearing no objections, so ordered."
61,appointments,reappointment of Theresa Garrison ,"Item three on the agenda, file number 220439, reappointment of Theresa Garrison to the Brownsville Advisory Committee by Alderman Malaylee Coggs."
62,appointments,reappointment of Theresa Garrison ,Miss Garrison is the resident representative.
63,appointments,reappointment of Theresa Garrison ,"She actually lives and has lived for, I think, over 30 years in the Brownsville area."
64,appointments,reappointment of Theresa Garrison ,"She's a little older and has some limited access to technology, but she still makes, you know, as much as possible at the meetings, so I really appreciate her participation and her wisdom on the committee, so I would again ask for your approval of her reappointment."
65,appointments,reappointment of Theresa Garrison ,"Alderman Perez moves for approval and hearing no objections, so ordered."
66,appointments,reappointment of Rahina,"Item four, 220440, reappointment of Rahina, and I apologize for the mispronunciation, Boynes to the Brownsville Advisory Committee by Alderman Coggs."
67,appointments,reappointment of Rahina,Many in the artistic community affectionately call him Ray Nitti.
68,appointments,reappointment of Rahina,"He has been a tremendous asset from the artistic perspective for the committee, and out of his addition, several other programs that we now do at the city in Brownsville have grown out of ideas that he came to the table with, so I definitely see him as an asset to the Brownsville Advisory Committee, and he also is now involved in development projects that have a cultural or creative um bend to them, so I see his addition or his continued service on the committee as essential, so I would again ask for you all's approval as well."
69,appointments,reappointment of Rahina,"Alderman Stanford moves for approval, perfect attendance record also, and hearing no objections, so ordered."
70,appointments,reappointment of Rahina,Thank you.
71,zoning changes,residential to business zoning change,"Item five, and the agenda, file number 220296, a substitute ordinance relating to changes zoning from two family residential RT4 to local business LB2 to allow a wider mix of commercial uses for the property located at 128 East Burleigh Street on the north side of East Burleigh Street east of North Achilles Street in the 6th Automatic District."
72,zoning changes,residential to business zoning change,"Thank you, Mr. Chair."
73,zoning changes,residential to business zoning change,"Many of you may know Tonda Thompson, familiar face here."
74,zoning changes,residential to business zoning change,"She is always, she is the founder of the Harambee 5k walk run for healthy birth outcomes that partners with Brownsville Week every year."
75,zoning changes,residential to business zoning change,"She's worked here at the city before, but many of those in the viewing public may also know her from Rogue Dreams, her photography and videography business, as well as her, she swings wood, her carpentry business, I guess, that you would call it, and through Harambee 5k she does it with her non-profit."
76,zoning changes,residential to business zoning change,"I am grateful that she has chosen to build a home for those three things that are collective in the Harambee neighborhood and first in Burleigh, a neighborhood that means a lot to her."
77,zoning changes,residential to business zoning change,She has taken a formerly city-owned building that was vacant for I believe 12 years and has chosen to renovate it for the utilization that she wants to have with it.
78,zoning changes,residential to business zoning change,The Department of City Development has recommended this zoning change.
79,zoning changes,residential to business zoning change,I wholeheartedly support it and would hope that you all will as well.
80,zoning changes,residential to business zoning change,"With that, I'll turn it over to, I don't know who you want to talk first."
81,zoning changes,residential to business zoning change,So is the plan for this to be a mixed-use residential upstairs office on the first floor or all office?
82,zoning changes,residential to business zoning change,"I think you want to talk, Sam."
83,zoning changes,residential to business zoning change,Do you want me to?
84,zoning changes,residential to business zoning change,This is a handsome building.
85,zoning changes,residential to business zoning change,I actually like the looks of this building.
86,zoning changes,residential to business zoning change,It looks to be very original.
87,zoning changes,residential to business zoning change,I can give the substance of the zoning change request and then I know Ms. Thompson can talk about her business and why it's such a great fit both for the building and the neighborhood.
88,zoning changes,residential to business zoning change,The zoning change.
89,zoning changes,residential to business zoning change,Just identify yourself.
90,zoning changes,residential to business zoning change,I'm sorry.
